REG_NUMBER	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION
B48836449	AV	IPARRAGIRRE ETORBIDEA	2	C	48940	ELEXALDE (LEIOA)	VIZCAYA	-2.991805	43.327247	1
B48836928	PS	OCHARAN MAZAS	26	4 DERECHA	39700	CASTRO-URDIALES	CANTABRIA	-3.213724	43.376583	1
B48837041	CL	MATIKO	16	BA JO	48007	BILBAO	VIZCAYA	-2.923647	43.267224	1
B48838858	CL	MEDINA DE POMAR	3	3 C	48012	BILBAO	VIZCAYA	-2.937896	43.251303	1
B48839492	PG	INDUSTRIAL ASUARAN		1 C	48950	ERANDIO	VIZCAYA	-2.95596084	43.3183336	6
B48840987	CL	AXULAR	2	1 D R	48920	PORTUGALETE	VIZCAYA	-3.017618	43.318539	1
B48845101	CL	GENERAL CASTAÑOS	9	LJ	48920	PORTUGALETE	VIZCAYA	-3.018765	43.319934	1
B48847875	CL	IÑAKI DEUNA	34	00	48700	ONDARROA	VIZCAYA	-2.43447915	43.32031643	6
B48849061	CL	ERASO GENERAL	10	04 G	48014	BILBAO	VIZCAYA	-2.951124	43.269985	1
B48853485	CL	CARDENAL CISNEROS	30		28802	ALCALA DE HENARES	MADRID	-3.37179	40.480711	1
B48853493	AV	CERVANTES	3	NAVE 13	48970	ARIZGOITI	VIZCAYA	-2.885345	43.243762	1
B48854756	PZ	VALLE DEL BAZTAN	3		48015	BILBAO	VIZCAYA	-2.960012	43.278549	1
B48860167	CL	VILLANUEVA	5		28001	MADRID	MADRID	-3.687673	40.422538	1
B48861348	LG	DEUSTU	11	L 00 IZQUIERDA	48014	BILBAO	VIZCAYA	-2.941253	43.270323	1
B48861868	CL	ZABALBIDE	32	LJ	48006	BILBAO	VIZCAYA	-2.91956	43.255209	1
B48862189	CL	LOPEZ DE HARO D  DIEGO	81	3 D	48011	BILBAO	VIZCAYA	-2.943402	43.264759	1
B48863294	LG	DEUSTU	34		48014	BILBAO	VIZCAYA	-2.959037	43.266125	1
B48865570	CL	FONTECHA Y SALAZAR	9	U PBUN	48007	BILBAO	VIZCAYA	-2.927083	43.268982	1
B48866115	CL	URQUIJO-URKIJO	10	BJIZ	48930	LAS ARENAS -AREETA	VIZCAYA	-3.015536	43.32622	1
B48871040	PS	URIBITARTE	1	BAJO	48001	BILBAO	VIZCAYA	-2.92678	43.264524	1
B48883276	CL	VELAZQUEZ		2 C	28001	MADRID	MADRID	-3.684371	40.421143	3
B48886220	CL	BOSTGARRENA	24	2 IZQUIERDA	48990	ANDRA MARI (GETXO)	VIZCAYA	-3.019432	43.363732	1
B48890917	CL	SEGRE	9		28002	MADRID	MADRID	-3.683324	40.450519	1
B48892434	CL	URQUIJO-URKIJO	1	6 D	48930	LAS ARENAS -AREETA	VIZCAYA	-3.01762	43.325283	1
B48894133	CL	AGUIRRE MAXIMO	12	1 DC	48011	BILBAO	VIZCAYA	-2.937858	43.263793	1
B48897664	CL	ANTONIO GURRUTXAGA	2		48920	PORTUGALETE	VIZCAYA	-3.020801	43.321726	1
B48904163	CL	PEÑA DE SANTA MARINA	4		48990	ANDRA MARI (GETXO)	VIZCAYA	-3.020543	43.365506	1
B48909584	BO	ARTEAGOITI	5	7	48970	BASAURI	VIZCAYA	-2.891329	43.224687	1
B48914477	AV	LA LIBERTAD	25		48901	SAN VICENTE DE BARAKALDO	VIZCAYA	-2.991415	43.29737	1
B48915847	PG	INDUSTRIAL LEZAMA LEGIZAMON	10	B	48450	ETXEBARRI	VIZCAYA	-2.88446486	43.25206101	6
B48917736	CL	VIRGEN DE BEGOÑA	18	LJ	48006	BILBAO	VIZCAYA	-2.917447	43.25961	1
B48919732	CL	GORDONIZ	13	BAJO I ZD	48010	BILBAO	VIZCAYA	-2.939859	43.258769	1
B48922074	CL	LAS MERCEDES	31	4 DP 1	48930	LAS ARENAS -AREETA	VIZCAYA	-3.012193	43.327679	1
B48923932	CL	SAGASTA	4	BAJO	26001	LOGROÑO	RIOJA	-2.446568	42.466336	1
B48929939	CL	MAIDAGAN	10		48990	ANDRA MARI (GETXO)	VIZCAYA	-3.010274	43.359844	1
B48940951	CL	VIUDA EPALZA EPALTZA ALARGUNA	3	TR SE RA	48005	BILBAO	VIZCAYA	-2.92370849	43.2587639	6
B48943310	CL	COLON DE LARREATEGUI	41	1 IZQUIERDA	48009	BILBAO	VIZCAYA	-2.935258	43.264097	1
B48943336	CR	BILBAO-GALDAKAO	18		48004	BILBAO	VIZCAYA	-2.905871	43.248202	1
B48943419	AL	MAZARREDO	9	2	48001	BILBAO	VIZCAYA	-2.929172	43.263328	1
B48944003	AV	URBI	33	SS	48970	URBI	VIZCAYA	-2.877894	43.236947	1
B48949788	CM	ITURRIGORRI PO IN ATXUCARRO	2		48480	ARRIGORRIAGA	VIZCAYA	-2.89546929	43.2073543	6
B48951834	PZ	VENEZUELA	1	B J DH	48001	BILBAO	VIZCAYA	-2.925043	43.262756	1
B48954309	BO	MENDIETA			48330	MENDIETA (LEMOA)	VIZCAYA	-2.76884502	43.19824808	5
B48962179	BO	IBARRA	12		48141	DIMA	VIZCAYA	-2.749268	43.140341	1
B48966303	CL	ITURRALDE KALEA	1	A	01470	AMURRIO	ALAVA	-3.00167	43.05262	1
B48966600	CL	CONCHA GENERAL	32	EN	48012	BILBAO	VIZCAYA	-2.93598	43.257209	1
B48968259	CL	EGIDAZU KAIA			48700	ONDARROA	VIZCAYA	-2.42117513	43.32531086	5
B48969216	CL	GENERAL CASTAÑOS	139		48920	PORTUGALETE	VIZCAYA	-3.03124188	43.32428706	5
B48977250	CL	MUROS DE SAN PEDRO	1	5	48007	BILBAO	VIZCAYA	-2.92367839	43.26807329	5
B48977631	CL	ASTINTZE KALEA	6	C 134	48160	ARANOLTZA (SAN ANTOLIN) (DERIO)	VIZCAYA	-2.885614	43.290244	1
B48981625	LG	TOMAS OLABARRI	6	3 A	48930	LAS ARENAS -AREETA	VIZCAYA	-3.013882	43.32161	1
B48990261	CL	GENERAL DIAZ PORLIER	14	BA 3 B	28001	MADRID	MADRID	-3.677138	40.426357	1
B48993224	PG	INDUSTRIAL GRANADA	10		48530	ORTUELLA	VIZCAYA	-3.06254441	43.29577651	5
B48997266	BO	LASIER	31		48840	GUEÑES	VIZCAYA	-3.08756	43.20748	1
B48998298	CL	GOIKOIBARRA	27		48300	GERNIKA-LUMO	VIZCAYA	-2.677886	43.305865	1
B49104821	CR	MADRID CORUÑA	41		49630	VILLALPANDO	ZAMORA	-5.419268	41.862066	1
B49119852	CR	LAGO SANABRIA	52		49360	GALENDE	ZAMORA	-6.73081985	42.13817479	5
B49122625	CR	BENAVENTE			49699	VILLANUEVA DE AZOAGUE	ZAMORA	-5.666509	41.977713	3
B49128879	CR	ZAMORA FERMOSELLE	34		49200	BERMILLO DE SAYAGO	ZAMORA	-6.07662295	41.36400353	5
B49129869	CL	DEL HOSPITAL DE SAN JUAN	3		49600	BENAVENTE	ZAMORA	-5.678058	42.004154	1
B49133531	CL	PRADO TUERTO	2	2	49019	ZAMORA	ZAMORA	-5.735912	41.507655	1
B49135924	CL	IGLESIA	2		49559	GALLEGOS DEL RIO	ZAMORA	-6.16378434	41.74108051	5
B49138019	BO	ALTO	4		49232	FORNILLOS DE FERMOSELLE	ZAMORA	-6.27519775	41.32788401	5
B49140957	CR	CUBILLOS	1		49023	ZAMORA	ZAMORA	-5.740223	41.516982	1
B49141245	CL	ALCAÑICES	10		49562	VILLARDECIERVOS	ZAMORA	-6.286348	41.939277	1
B49142292	CL	ALBILLERA	26		49024	ZAMORA	ZAMORA	-5.759649	41.515049	1
B49144314	CL	VILLALPANDO	28		49005	ZAMORA	ZAMORA	-5.748453	41.507869	1
B49145584	CR	SALAMANCA	82		49024	ZAMORA	ZAMORA	-5.72672115	41.48845815	5
B49147614	CL	RIEGO	1	2 A	49004	ZAMORA	ZAMORA	-5.745247	41.505153	1
B49150824	CL	BAMBA	23		49150	MORALEJA DEL VINO	ZAMORA	-5.653712	41.462272	1
B49151236	CL	VIME SANABRIA			49322	PALACIOS DE SANABRIA	ZAMORA	-6.54494693	42.04604128	5
B49151699	CL	MORAL	21		49700	CORRALES DEL VINO	ZAMORA	-5.723473	41.356275	1
B49151897	CL	ANTONIO MARQUEZ			49163	MANZANAL DEL BARCO	ZAMORA	-5.948951	41.635466	3
B49154024	CL	EL TEJAR	12		49530	CORESES	ZAMORA	-5.61769784	41.53465205	5
B49154693	CL	ESCULTOR BECERRA	6		49019	ZAMORA	ZAMORA	-5.73659	41.504703	1
B49155112	CL	POZO DE LA NIEVE	1		49027	ZAMORA	ZAMORA	-5.757595	41.491214	1
B49156300	CL	ALFONSO III EL MAGNO	2	1 IZQUIERDA	49003	ZAMORA	ZAMORA	-5.743932	41.504068	1
B49156722	AV	CARDENAL CISNEROS	19	BJIZ	49012	ZAMORA	ZAMORA	-5.737153	41.511228	1
B49159924	CL	CARRETERA GIJON SEVILLA			49690	SAN CRISTOBAL DE ENTREVIÑAS	ZAMORA	-5.651848	42.031536	3
B49173669	CL	SARMIENTO	7		49192	ROALES	ZAMORA	-5.78073329	41.54716579	5
B49173834	CL	SANTA TERESA	25		49013	ZAMORA	ZAMORA	-5.740668	41.510775	1
B49177223	CR	MATILLA	4		49590	FRESNO DE LA RIBERA	ZAMORA	-5.562986	41.529501	1
B49189525	AV	CAÑADA DE LA VIZANA	44	4 D	49600	BENAVENTE	ZAMORA	-5.68121	42.006476	1
B49189996	PJ	SAN NICOLAS	9		49600	BENAVENTE	ZAMORA	-5.677465	42.002394	1
B50004308	CL	JUAN DE LA CIERVA	23		50014	ZARAGOZA	ZARAGOZA	-0.860129	41.668116	1
B50006337	PS	PAMPLONA	16	5	50004	ZARAGOZA	ZARAGOZA	-0.887185	41.649226	1
B50007954	PS	ISABEL LA CATOLICA	12		50009	ZARAGOZA	ZARAGOZA	-0.902343	41.63467	1
B50009521	CL	COSO	126	1	50002	ZARAGOZA	ZARAGOZA	-0.875665	41.650824	1
B50015015	CL	ALBALA	5	3	28037	MADRID	MADRID	-3.619723	40.436201	1
B50021732	PG	COGULLADA UR NIDO	13		50014	ZARAGOZA	ZARAGOZA	-0.84755256	41.68216327	6
B50023563	AV	INDEPENDENCIA	22	10	50004	ZARAGOZA	ZARAGOZA	-0.883155	41.65016	1
B50024645	CL	CARNECERIAS	1		50700	CASPE	ZARAGOZA	-0.038029	41.236169	1
B50032929	CL	SANCLEMENTE	20	2 H	50001	ZARAGOZA	ZARAGOZA	-0.880937	41.649336	1
B50038116	CR	CASTILLA		KM 17	50500	TARAZONA	ZARAGOZA	-1.731792	41.899641	1
B50043785	PS	JUSTICIA	107	NA	50740	FUENTES DE EBRO	ZARAGOZA	-0.627261	41.511737	3
B50046218	CR	LOGROÑO	13		50180	UTEBO	ZARAGOZA	-1.016882	41.711238	1
B50058817	CL	ALGECIRAS CIRUELA	11	NV	50630	ALAGON	ZARAGOZA	-1.12297549	41.77244473	6
B50062264	CR	CALATORAO			50100	LA ALMUNIA DE DOÑA GODINA	ZARAGOZA	-1.36781997	41.49672228	5
B50063726	CL	BILBAO	7		50004	ZARAGOZA	ZARAGOZA	-0.88988595	41.65210561	6
B50067255	CL	JOSEFA AMAR Y BORBON	5	1 B	50001	ZARAGOZA	ZARAGOZA	-0.88004	41.651436	1
B50069780	AV	VALENCIA	51	LC	50005	ZARAGOZA	ZARAGOZA	-0.897777	41.645881	1
B50073972	AV	INDEPENDENCIA	24	7	50004	ZARAGOZA	ZARAGOZA	-0.883279	41.650046	1
B50079607	CR	SADABA		KM	50600	EJEA DE LOS CABALLEROS	ZARAGOZA	-1.17948956	42.14573285	5
B50079995	CL	UNIVERSITAS	63	LO	50017	ZARAGOZA	ZARAGOZA	-0.909547	41.649878	1
B50086172	AV	JACETANIA	21	BA	22700	JACA	HUESCA	-0.546416	42.57039	1
B50086966	PG	INDUSTRIAL SAN VALERO		51	50720	CARTUJA BAJA	ZARAGOZA	-0.841995	41.614458	3
B50087097	AV	CESAR AUGUSTO	29	LC	50004	ZARAGOZA	ZARAGOZA	-0.884425	41.653552	1
B50093772	CL	MESSINA	5	TR	50197	ZARAGOZA	ZARAGOZA	-0.99746746	41.64329926	6
B50094655	AV	INDEPENDENCIA	24		50004	ZARAGOZA	ZARAGOZA	-0.883279	41.650046	1
B50104405	CL	POETA JOSE VERON GORMAZ	5	3 B	50300	CALATAYUD	ZARAGOZA	-1.64085789	41.35352262	5
B50109602	PS	PAMPLONA	1	10 E	50004	ZARAGOZA	ZARAGOZA	-0.88667	41.648064	1
B50115963	CL	MONASTERIO DE SAMOS	15		50013	ZARAGOZA	ZARAGOZA	-0.872057	41.643669	1
B50117977	CR	CASTELLON	5		50720	CARTUJA BAJA	ZARAGOZA	-0.821613	41.602314	3
B50120575	CM	MOLINOS	83		50015	ZARAGOZA	ZARAGOZA	-0.868102	41.678756	1
B50124569	CL	BILBAO	7		50004	ZARAGOZA	ZARAGOZA	-0.88988595	41.65210561	6
B50129931	AV	VALENCIA	51	2 B	50005	ZARAGOZA	ZARAGOZA	-0.897777	41.645881	1
B50142967	CL	MIGUEL SERVET	34	B 7 D	50008	ZARAGOZA	ZARAGOZA	-0.873756	41.647141	1
B50144203	AV	CESAREO ALIERTA	14	1 IZQUIERDA	50008	ZARAGOZA	ZARAGOZA	-0.878979	41.646066	1
B50147446	CR	LOGROÑO		KM 12,7	50180	UTEBO	ZARAGOZA	-1.025487	41.716991	3
B50158898	CL	PASO		BAJO	50820	SAN JUAN DE MOZARRIFAR	ZARAGOZA	-0.841684	41.717246	3
B50164490	CL	GRAN VIA	5	2 DC	50006	ZARAGOZA	ZARAGOZA	-0.886311	41.646571	1
B50169408	CL	VICENTE BERDUSAN		0 37	50003	ZARAGOZA	ZARAGOZA	-0.898219	41.653239	3
B50173863	CL	FERNANDO MUGICA	11	01	20018	DONOSTIA/SAN SEBASTIAN	GIPUZKOA	-2.013009	43.28113	1
B50175801	CL	CONDE ARANDA	6	LC	50003	ZARAGOZA	ZARAGOZA	-0.886402	41.654786	1
B50176023	CL	UNCASTILLO	19		50008	ZARAGOZA	ZARAGOZA	-0.879951	41.639852	1
B50182591	CR	CASTELLON	5		50720	CARTUJA BAJA	ZARAGOZA	-0.821613	41.602314	3
B50185586	AV	INDEPENDENCIA	29	PR	50001	ZARAGOZA	ZARAGOZA	-0.883117	41.649871	1
B50188598	PZ	SALAMERO	14	2 C	50004	ZARAGOZA	ZARAGOZA	-0.88403	41.65277	1
B50190867	CL	SAN VICENTE MARTR	26	PR	50008	ZARAGOZA	ZARAGOZA	-0.87791969	41.64253463	6
B50191568	CR	CASTELLON	3	POLIGONO S CARLOS NA 9	50013	ZARAGOZA	ZARAGOZA	-0.84784942	41.63724173	5
B50193358	PG	INDUSTRIAL SANTA FE	13	OF 3	50410	CUARTE DE HUERVA	ZARAGOZA	-0.92640729	41.58677684	6
B50204759	AV	NAVARRA	36	B	50500	TARAZONA	ZARAGOZA	-1.72448	41.909053	1
B50212646	CL	SAN FELIX	6	2 A	50003	ZARAGOZA	ZARAGOZA	-0.878667	41.653614	1
B50226679	PZ	FUERTE	7		50300	CALATAYUD	ZARAGOZA	-1.6435	41.351756	1
B50231455	PS	SAGASTA	45	TRIZ	50007	ZARAGOZA	ZARAGOZA	-0.886291	41.640203	1
B50302033	UR	TORRE DEL PINAR	8		50190	URBANIZACION TORRE DEL PINAR	ZARAGOZA	-1.018043	41.694025	1
B50308881	CL	TOLEDO	13	BAD	50005	ZARAGOZA	ZARAGOZA	-0.897223	41.647762	1
B50309699	PS	RUISEÑORES	41	CS 1	50006	ZARAGOZA	ZARAGOZA	-0.889205	41.636285	1
B50311257	CL	GEORGE STEPHESON	16	NA 33	50015	ZARAGOZA	ZARAGOZA	-0.87270468	41.67710578	6
B50312420	CL	AGUSTINA SIMON	2	OC	50004	ZARAGOZA	ZARAGOZA	-0.884251	41.647884	1
B50318187	PG	MALPICA CALLE E	62	PARCELA	50016	ZARAGOZA	ZARAGOZA	-0.82623688	41.6706772	6
B50318229	CL	RUMANIA	3	1	28224	POZUELO DE ALARCON	MADRID	-3.809632	40.430515	1
B50319128	CL	ARBELLONES	7	2	50290	EPILA	ZARAGOZA	-1.280811	41.59971	1
B50326834	CL	PRUDENCIO	7		50003	ZARAGOZA	ZARAGOZA	-0.881209	41.65642	1
B50332543	PG	POLIGONO MALPICA	167		50016	ZARAGOZA	ZARAGOZA	-0.79646283	41.65964489	5
B50333889	CL	SAN ATILANO	1	BAJO	50500	TARAZONA	ZARAGOZA	-1.729248	41.903927	1
B50336528	CL	MIGUEL SERVET	41		50013	ZARAGOZA	ZARAGOZA	-0.871664	41.64576	1
B50337518	CR	AEROPUERTO MIRALBUENO	7		50011	ZARAGOZA	ZARAGOZA	-0.95367368	41.67125147	6
B50356377	PZ	ARAGON	4	8 B	50004	ZARAGOZA	ZARAGOZA	-0.88988595	41.65210561	6
B50359660	CL	ANETO VALDECONSEJO		NV 8	50410	CUARTE DE HUERVA	ZARAGOZA	-0.92640729	41.58677684	6
B50365139	CL	JUAN PABLO II		3 2 D	50009	ZARAGOZA	ZARAGOZA	-0.911963	41.64423	3
B50366459	CL	MADRE RAFOLS	2	8 6	50004	ZARAGOZA	ZARAGOZA	-0.886794	41.652353	1
B50374727	CL	TENIENTE CORONEL VALENZUELA	5	QUIZ	50004	ZARAGOZA	ZARAGOZA	-0.882984	41.652832	1
B50441138	PS	MARIA AGUSTIN	62	LC 2	50004	ZARAGOZA	ZARAGOZA	-0.893563	41.655413	1
B50451285	CL	COSO	46	7	50004	ZARAGOZA	ZARAGOZA	-0.881823	41.652703	1
B50468289	PZ	ARAGON	11		50004	ZARAGOZA	ZARAGOZA	-0.885259	41.648623	1
B50469360	PG	LAS VIAS		NV 22	50298	PINSEQUE	ZARAGOZA	-1.074817	41.737737	3
B50469931	PG	POLIGONO INDUSTRIAL DE MALPICA (CALLE C)	3	LC	50057	ZARAGOZA	ZARAGOZA	-0.79646283	41.65964489	5
B50471416	PS	RUISEÑORES	40	CA 18 E	50006	ZARAGOZA	ZARAGOZA	-0.890712	41.634241	1
B50479088	CL	ANSELMO CLAVE	13	1 IZQUIERDA	50004	ZARAGOZA	ZARAGOZA	-0.893268	41.652328	1
B50482041	CL	PARAISO	6		50410	CUARTE DE HUERVA	ZARAGOZA	-0.932452	41.601321	1
B50485366	AV	LA ILUSTRACION	24	10	50012	ZARAGOZA	ZARAGOZA	-0.935853	41.630441	1
B50486232	CL	FRANCISCO VITORIA	21	IZQUIERDA 3 F	50008	ZARAGOZA	ZARAGOZA	-0.879709	41.645756	1
B50486802	CL	BILBAO	11	3 A	50004	ZARAGOZA	ZARAGOZA	-0.88988595	41.65210561	6
B50488162	CL	ANTONIO DE LEYVA	36		50011	ZARAGOZA	ZARAGOZA	-0.925185	41.651639	1
B50497619	PG	INDUSTRIAL BORAO	5		50172	ALFAJARIN	ZARAGOZA	-0.64876819	41.63228657	5
B50500008	AV	CORTES DE ARAGON	4		50770	QUINTO	ZARAGOZA	-0.495731	41.423119	1
B50514538	CL	COSO	157	LC	50001	ZARAGOZA	ZARAGOZA	-0.872093	41.653171	1
B50523489	CL	MADRE RAFOLS	2	6	50004	ZARAGOZA	ZARAGOZA	-0.886794	41.652353	1
B50525617	CL	COSO	38	BAJO	22001	HUESCA	HUESCA	-0.40446916	42.13918497	6
B50525922	AV	CESAREO ALIERTA	23	OF	50008	ZARAGOZA	ZARAGOZA	-0.876287	41.643585	1
B50530831	CL	MARTIN MACHIO	50		28002	MADRID	MADRID	-3.66224	40.445911	1
B50535418	CL	BARRICHUELO	2		50290	EPILA	ZARAGOZA	-1.280459	41.59858	1
