REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A02055150	1	CL	SAN AGUSTIN	14	, 1º,F	02001	ALBACETE	ALBACETE	-1.852530000	38.993656500	1	CL	SAN AGUSTIN	14	1 F	02001	ALBACETE	ALBACETE			
A02062602	1	PG	CAMPOLLANO C	5		02007	ALBACETE	ALBACETE	-1.882389000	39.010351000	14	PG	CAMPOLLANO CALLE C	5		02007	ALBACETE	ALBACETE			
A02102044	1	CL	INMACULADA	2		02320	BALAZOTE	ALBACETE	-2.152020500	38.884264700	1	CL	INMACULADA	2		02320	BALAZOTE	ALBACETE			
A02151868	1	CL	PLIND CAMPOLLANO C	2		02007	ALBACETE	ALBACETE				PG	IND CAMPOLLANO	s/n	C2	02007	ALBACETE	ALBACETE			
A02157808	1	CL	CURA	7	ENTREPLA	02001	ALBACETE	ALBACETE				CL	CURA ENTREPLA	7	ENTREPLANTA	02001	ALBACETE	ALBACETE			
A02198232	1	PS	CIRCUNVALACION	103		02003	ALBACETE	ALBACETE	-1.864873000	38.985562000	1	PS	CIRCUNVALACION	57		02004	ALBACETE	ALBACETE	-1.867883	38.989403	1
A02240307	1	AV	LIBERTAD	20		02400	HELLIN	ALBACETE	-1.697154200	38.512544500	1	AV	LIBERTAD	20		02400	HELLIN	ALBACETE			
A03006897	1	CL	LA MAR	9		03590	ALTEA	ALICANTE				CL	LA MAR	9		03590	ALTEA	ALICANTE			
A03033479	1	CL	ESTACION	8	BJ	03400	VILLENA	ALICANTE	-0.866826600	38.631205300	21	RD	DE LA ESTACION	8	BJ	03400	VILLENA	ALICANTE			
A03124864	2	AV	ALMIRALL BERNAT DE SARRIA	8	1	03503	BENIDORM	ALICANTE	-0.110751000	38.540485000	1	AV	DERRAMADOR		EDIFICIO TORREMAR	03500	BENIDORM	ALICANTE	-0.109966	38.536662	3
A03124864	2	AV	ALMIRALL BERNAT DE SARRIA	8	1	03503	BENIDORM	ALICANTE	-0.110751000	38.540485000	1	AV	ZAMORA	11	EDIFICIO PLAYA AZUL	03503	BENIDORM	ALICANTE	-0.108233	38.540412	1
A03199056	2	CL	ANGEL	2	AC	03203	ELCHE	ALICANTE	-0.698870500	38.262568900	1	AV	DE ALICANTE	59		03202	ELCHE	ALICANTE			
A03199056	2	CL	ANGEL	2	AC	03203	ELCHE	ALICANTE	-0.698870500	38.262568900	1	CL	FRAY LUIS DE LEON	26		03203	ELCHE	ALICANTE			
A03287448	1	AV	EUSEBIO SEMPERE	18	BAJO	03003	ALICANTE	ALICANTE	-0.492720850	38.339993400	5	PZ	LUCEROS	1		03001	ALICANTE	ALICANTE			
A03324035	1	CL	CUENCA	14	EDIFICIO EL HORREO	03503	BENIDORM	ALICANTE				CL	CUENCA	14	EDIFICIO EL HORREO	03503	BENIDORM	ALICANTE			
A03349768	1	AV	JUAN CARLOS I	20	BAJO	03710	SAN GABRIEL	ALICANTE	0.071457000	38.641901000	1	PS	MARITIMO	12	EDIFICIO PARAISO MAR	03710	CALP	ALICANTE	0.044292	38.652732	6
A03408325	1	AV	CREVILLENTE	71		03205	ELCHE/ELX	ALICANTE	-0.724261840	38.264432190	6	CR	ALICANTE MURCIA			03291	ELCHE/ELX	ALICANTE	-0.685275	38.300036	6
A03417524	1	RD	MURALLES	17		03700	DENIA	ALICANTE	0.102687000	38.841853000	1	CL	CALDERON	1	EN	03700	DENIA	ALICANTE	0.110822	38.840591	1
A03442506	1	CL	CL RUZAFA 8	S/N		03500	BENIDORM	ALICANTE	-0.129763800	38.538452300	1	CL	CL RUZAFA 8	s/n		03500	BENIDORM	ALICANTE			
A03843992	1	CL	PEDRO DE VALDIVIA	31		28006	MADRID	MADRID	-3.679384000	40.438722000	1	PG	ESTRELES	1	BAJO	03581	PLA PARCIAL PLATJA	ALICANTE	-0.066269	38.571356	1
A04011243	1	PG	CIA VIEJA BETICA	S/N		04700	EJIDO (EL)	ALMERIA	-2.810645471	36.786740834	22	AV	CIA VIEJA	44	POLIG CIA VIEJA	04700	EJIDO (EL)	ALMERIA			
A04028411	1	AV	MONTSERRAT	162	BJ	04006	ALMERIA	ALMERIA	-2.444505900	36.838621100	1	AV	MONTSERRAT	162		04006	ALMERIA	ALMERIA			
A04034948	1	CL	DEL PRINCIPE DE VERGARA	132		28002	MADRID	MADRID	-3.678110500	40.443402200	1	CL	DEL PRINCIPE DE VERGARA	132		28002	MADRID	MADRID			1
A04037321	1	CL	CARDENAL HERRERA ORIA	11		04005	ALMERIA	ALMERIA	-2.455562900	36.840893200	1	CL	COBALTO NAVES	141	143 POLIGONO INDUSTRIAL SECTOR 20	04009	ALMERIA	ALMERIA			
A04041695	1	AV	CARLOS III	S/N	EDF CENTER	04740	ROQUETAS DE MAR	ALMERIA	-2.583680950	36.811594950	7	AV	CARLOS III	s/n	EDF CENTER	04740	ROQUETAS DE MAR	ALMERIA			
A04055828	1	CL	PASAJE DEL LIBRO	2	3	04770	ADRA	ALMERIA	-3.015889580	36.747326520	5	CL	LIBRO	2		04770	ADRA	ALMERIA	-2.989604	36.755324	1
A04115812	1	AV	MARIANO HERNANDEZ UR ROQ	15		04740	ROQUETAS DE MAR	ALMERIA	-2.625208440	36.755924180	6	AV	MARIANO HERNANDEZ CARO	9		04740	ROQUETAS DE MAR	ALMERIA	-2.612616	36.744686	3
A04203923	2	CR	NACIONAL 340	S/N	KM 410 200	04700	EJIDO (EL)	ALMERIA	-2.810645471	36.786740834	22	AV	EL TREINTA	163		04700	EJIDO (EL)	ALMERIA			
A04203923	2	CR	NACIONAL 340	S/N	KM 410 200	04700	EJIDO (EL)	ALMERIA	-2.810645471	36.786740834	22	CL	BREMEN	2		04710	EJIDO (EL)	ALMERIA	-2.752440	36.782549	
A05014568	1	PS	DE LA ESTACION	17		05001	AVILA	AVILA	-4.685786300	40.657157300	1	PS	DE LA ESTACION	17		05001	AVILA	AVILA			
A05017454	1	CL	MADRIGAL DE LAS ALTAS TORRES - PG TIERRA DE AREVALO	S/N		05200	AREVALO	AVILA	-4.718038285	41.035636362	22	CL	MADRIGAL DE LAS ALTAS TORRES - PG TIERRA DE AREVALO	s/n		05200	AREVALO	AVILA			
A05021381	2	CL	REGAJALES	1		05400	ARENAS DE SAN PEDRO	AVILA	-5.093416768	40.188838641	21	CL	REGAJALES	1		05400	ARENAS DE SAN PEDRO	AVILA			
A05021381	2	CL	REGAJALES	1		05400	ARENAS DE SAN PEDRO	AVILA	-5.093416768	40.188838641	21	CR	TALAVERA DE LA REINA	s/n		05418	ARENAS DE SAN PEDRO	AVILA			
A06004246	1	CL	FRANCISCO PIZARRO	56	1 A	06200	ALMENDRALEJO	BADAJOZ	-6.405951000	38.680943000	3	CR	BADAJOZ. SAN MARCOS	30		06200	SAN MARCOS (ALMENDRALEJO)	BADAJOZ	-6.409982	38.711172	5
A06006019	1	CL	LA MASO	81	A	28034	MADRID	MADRID	-3.714353000	40.486358000	1	CL	HORTALEZA	118	1 7	28004	MADRID	MADRID	-3.696965	40.426257	1
A06006993	1	AV	FRANCISCO RODRIGUEZ ROMERO PG EL NE	6		06006	BADAJOZ	BADAJOZ	-6.990626100	38.890075600	5	AV	FRANCISCO RODRIGUEZ ROMERO PG EL NE	6		06006	BADAJOZ	BADAJOZ			
A06008460	1	CL	PLIND SAN ISIDRO PARC A	25		06400	DON BENITO	BADAJOZ				CL	MARINEGRA	9	POLIGONO INDUSTRIAL SAN ISIDRO	06400	DON BENITO	BADAJOZ	-5.861231	38.975068	1
A06009104	1	AV	- AVDA SINFORIANO MADROÑERO	24	26 06011	06011	BADAJOZ	BADAJOZ	-6.987653900	38.870051800	1	AV	SINFONIANO MADROÑERO	24	26	06001	BADAJOZ	BADAJOZ			1
A06010870	1	CL	GRACIANO	40		06800	MERIDA	BADAJOZ	-6.344918200	38.913632800	5	CL	GRACIANO	40		06800	MERIDA	BADAJOZ			
A06031934	1	CL	SERVANDO GONZALEZ BECERRA	1	LOCAL 23	06011	BADAJOZ	BADAJOZ	-7.089769300	38.796457400	22	CL	SERVANDO GONZALEZ BECERRA	1	LOC. 23	06011	BADAJOZ	BADAJOZ			
A06040919	2	CR	MADRID LISBOA N V KILOMETRO	398	NAVE 8	06008	BADAJOZ	BADAJOZ	-6.951674100	38.875686100	7	CR	MADRID LISBOA  KM	391		06195	BADAJOZ	BADAJOZ			
