REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A48187801	1	CL	ITURRIONDO	12		48940	LEIOA	BIZKAIA	-2.990580000	43.318490000	12	CL	ITURRIONDO	12		48940	LEIOA	BIZKAIA			
A48202105	1	CL	CAMPOMANES	3		28013	MADRID	MADRID	-3.709427600	40.418962400	1	CL	CL CAMPOMANES 3	s/n		28013	MADRID	MADRID			
A48211163	1	AV	ZUGATZARTE	20	A	48930	LAS ARENAS -AREETA	VIZCAYA	-3.013402000	43.329570000	1	AV	AUTONOMIA ETORBIDEA	15		48940	LAMIAKO	VIZCAYA	-3.010490	43.320566	1
A48211528	1	PG	BILDOSOLA PABELLON E	1	BULEGOAK	48140	IGORRE	BIZKAIA				PG	BILDOSOLA	1	PABELLON E, BULEGOAK	48140	IGORRE	BIZKAIA			
A48215024	1	PG	ARTEAGEITI PABELLON	8		48970	BASAURI	BIZKAIA	-2.892348500	43.233696400	22	PG	ARTEAGOITI	15	PABELLON 8	48970	BASAURI	BIZKAIA			
A48218499	1	BO	UDIARRAGA 1 A BAJO	S/N		48490	UGAO MIRABALLES	BIZKAIA	-2.909921577	43.182744925	21	CL	BO UDIARRAGA 1 A BAJO S/N	s/n		48490	UGAO MIRABALLES	BIZKAIA			
A48219067	1	CL	ARTAZA	7	LEJONA	48940	LEIOA	BIZKAIA	-2.981247583	43.330285100	22	CL	ARTAZA	7		48940	LEIOA	BIZKAIA			
A48227045	1	PG	TORRELARRAGOITI	2	E	48170	ZAMUDIO	BIZKAIA	-2.857503000	43.280807000	12	CL	BUEN PASTOR	46		48903	BARAKALDO	BIZKAIA	-2.977694	43.290358	12
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	AV	ABARO	12		48920	PORTUGALETE	VIZCAYA	-3.020591	43.321753	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	AV	EUSKADI	17		48902	SAN VICENTE DE BARAKALDO	VIZCAYA	-2.991132	43.292345	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	AV	ZUMALACARREGUI	28	U PB 3 I	48006	BILBAO	VIZCAYA	-2.915424	43.261302	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	DOCTOR FLEMING	1		48910	SESTAO	VIZCAYA	-3.006580	43.311147	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	DOCTOR JOSE ZALDUA	2		48920	PORTUGALETE	VIZCAYA	-3.022662	43.318070	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	GOBELA	3		48610	LANDA (URDULIZ)	VIZCAYA	-2.960061	43.375622	5
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	MURRIETA	14		48901	SAN VICENTE DE BARAKALDO	VIZCAYA	-2.986014	43.300395	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	SAN ROQUE	10		48920	PORTUGALETE	VIZCAYA	-3.017791	43.318845	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CL	SIPIRI	4		48600	MOREAGA	VIZCAYA	-2.983463	43.381075	1
A48231567	10	BO	SAN MAMES			48508	SAN MAMES (ZIERBENA)	VIZCAYA	-3.092426760	43.348340710	5	CR	ZORROTZA-KASTREXANA	1		48013	BILBAO	VIZCAYA	-2.971231	43.276061	1
A48243869	1	CL	CAMINO DE MORGAN	2	A, 2	48014	BILBAO	BIZKAIA	-2.954202000	43.268615000	12	CM	MORGAN	2	A -2º	48014	BILBAO	BIZKAIA	-2.952354	43.268089	
A48254429	1	CL	ESTARTETXE	5	5 PLT DEPARTAMENTO 507	48940	LEIOA	BIZKAIA	-2.991211000	43.328464000	14	CL	ESTARTETXE	5	5º DPTO 507	48940	LEIOA	BIZKAIA	-2.987906	43.326608	
A48257117	1	PZ	ERREMENTARI PLAZA	8	I	20560	OÑATI	GIPUZKOA	-2.413445000	43.031003000	1	CL	GABIRIA	2	R	20305	IRUN	GIPUZKOA	-1.825455	43.328572	1
A48264568	1	CL	BOLUMBUNU	S/N		48860	ZALLA	BIZKAIA	-3.130966058	43.204667008	22	BO	BOLUMBURU	s/n		48860	ZALLA	BIZKAIA			
A48267686	1	CL	IPARRAGUIRRE	55	DP T 19	48010	BILBAO	VIZCAYA	-2.938270000	43.258777000	1	CL	IBERRE ZEHARBIDE			48630	ELEXALDE (GORLIZ)	VIZCAYA	-2.936357	43.412339	3
A48271381	1	PZ	PLAZATXOA	2	BAJO D	48620	PLENTZIA	VIZCAYA	-2.946494000	43.403286000	1	CL	KRISTO			48620	PLENTZIA	VIZCAYA	-2.946456	43.404079	3
A48277669	1	CL	ARROYOFRESNO	24	1 2 DC	28035	MADRID	MADRID	-3.741135000	40.476523000	1	CL	CLAUDIO COELLO	106		28006	MADRID	MADRID	-3.685484	40.434479	1
A48278543	1	BO	MENDIONDO	S/N	CTRA URDULIZ MUNGUIA K	48610	URDULIZ	BIZKAIA				BO	BO MENDIONDO S/N CTRA URDULIZ MUNGUIA K	s/n		48610	URDULIZ	BIZKAIA			
A48290498	1	AL	URQUIJO	12	EN IZQUIERDA	48008	BILBAO	VIZCAYA	-2.931394000	43.260313000	1	CL	NORTE	21		28120	SANTO DOMINGO (ALGETE)	MADRID	-3.582167	40.641970	1
A48299044	1	AL	MAZARREDO	41		48009	BILBAO	BIZKAIA				CL	AL MAZARREDO	41	1 DR	48009	BILBAO	BIZKAIA			
A48409494	1	CL	RIBERA DE AXPE	11	PLIND DE AXPE	48950	ERANDIO	BIZKAIA	-2.987906500	43.315107850	21	PG	AXPE	s/n	D2-001	48950	ERANDIO	BIZKAIA			
A48448856	1	BO	BARRONDO	4	PLIND DE UGARTE F 2	48480	ZARATAMO	BIZKAIA	-2.879584000	43.215490000	12	AV	DE LOS CONSIGNATARIOS	s/n		35008	PALMAS DE GRAN CANARIA (LAS)	LAS PALMAS			
A48522031	2	CL	AÑASTRO	41		28033	MADRID	MADRID	-3.660491000	40.469570000	1	AV	GRAN VIA PARQUE	27	3 1	14005	CORDOBA	CORDOBA	-4.793622	37.881666	1
A48522031	2	CL	AÑASTRO	41		28033	MADRID	MADRID	-3.660491000	40.469570000	1	CL	CALZADA DE CASTRO	54	1	04006	ALMERIA	ALMERIA	-2.450466	36.838140	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	AL	AREILZA DOCTOR	47		48010	BILBAO	VIZCAYA	-2.943247	43.259149	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	AV	IPARRAGIRRE ETORBIDEA	64		48940	ELEXALDE (LEIOA)	VIZCAYA	-2.987309	43.325513	3
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	BIDEZABAL	12	BAJO	48990	ANDRA MARI (GETXO)	VIZCAYA	-3.010533	43.357466	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	GANEKOGORTA MONTE	7		48014	BILBAO	VIZCAYA	-2.947115	43.274702	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	GOBELAURRE	13		48930	LAS ARENAS -AREETA	VIZCAYA	-3.006783	43.326378	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	JADO KALEA	19		48950	ALTZAGA (ERANDIO)	VIZCAYA	-2.975274	43.303806	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	MAYOR	8		48930	LAS ARENAS -AREETA	VIZCAYA	-3.014388	43.324977	1
A48536320	8	CL	ZALAMA	2	LJ DERECHA	48930	LAS ARENAS -AREETA	VIZCAYA	-3.011959000	43.327481000	1	CL	OTERO BLAS	11		48014	BILBAO	VIZCAYA	-2.945739	43.270046	1
A48538490	1	CM	ZUBILETA	29		48903	BARAKALDO	BIZKAIA	-2.975597000	43.262676000	12	CM	ZUBILETA	29		48903	BARAKALDO	BIZKAIA	-2.944757	43.254479	
A48569388	1	CL	GENERAL CONCHA	39	3º PLANTA	48012	BILBAO	BIZKAIA	-2.935731000	43.257815000	12	CL	GENERAL CONCHA	39	3º	48012	BILBAO	BIZKAIA			
A48777767	1	CL	Z. I. VALDES CENTER BL	5	LOS CRISTIANOS	38640	ARONA	SANTA CRUZ DE TENERIFE	-16.683240700	28.098669500	22	CL	ZONA S/N EDF VALDES CENTER B 15 LOS C	s/n		38650	ARONA	SANTA CRUZ DE TENERIFE			
A48984918	3	AV	ZUGAZARTE	8	LAS ARENAS	48930	GETXO	BIZKAIA	-3.014715000	43.328066000	15	AV	ZUGAZARTE	8	DPTO 6	48930	GETXO	BIZKAIA			
A48984918	3	AV	ZUGAZARTE	8	LAS ARENAS	48930	GETXO	BIZKAIA	-3.014715000	43.328066000	15	CL	ALCALA	35		28014	MADRID	MADRID			
A48984918	3	AV	ZUGAZARTE	8	LAS ARENAS	48930	GETXO	BIZKAIA	-3.014715000	43.328066000	15	RD	SANTA EULALIA	37	NAVE 13	08780	PALLEJA	BARCELONA			
A49009616	1	CL	CT DE LA TABLA	S/N		49141	FARAMONTANOS DE TABARA	ZAMORA				CL	CRTA DE LA TABLA	s/n		49141	FARAMONTANOS DE TABARA	ZAMORA			
A49163058	1	CR	VILLACASTIN VIGO	S/N	KM 272	49024	ZAMORA	ZAMORA	-5.794428200	41.494722000	23	CR	VILLACASTIN VIGO KM 272	s/n	BAJO	49025	ZAMORA	ZAMORA			
A50001452	2	CL	DOCTOR ANTONIO VALCARRERES	1	PLANTA 6	50004	ZARAGOZA	ZARAGOZA	-0.884909000	41.650874000	15	CL	DOCTOR ANTONIO VALCARRERES	1	PLANTA 6	50004	ZARAGOZA	ZARAGOZA			
A50001452	2	CL	DOCTOR ANTONIO VALCARRERES	1	PLANTA 6	50004	ZARAGOZA	ZARAGOZA	-0.884909000	41.650874000	15	PS	SAGASTA	4	LOCAL	50006	ZARAGOZA	ZARAGOZA			
A50024074	2	CL	SEPTIEMBRE	378	URB PEÑA EL ZORONGO	50019	ZARAGOZA	ZARAGOZA	-0.891351100	41.769827000	1	CL	SIMON SAINZ DE VARANDA	7		50007	ZARAGOZA	ZARAGOZA			
A50024074	2	CL	SEPTIEMBRE	378	URB PEÑA EL ZORONGO	50019	ZARAGOZA	ZARAGOZA	-0.891351100	41.769827000	1	PG	MALPICA CALLE F OESTE NAVE 61-A	s/n		50057	ZARAGOZA	ZARAGOZA			
A50027622	2	CL	VIA HISPANIDAD	S/N	KM 77 - A	50012	ZARAGOZA	ZARAGOZA	-0.912545100	41.640561500	7	CL	ARGUALAS	3	NAVE	50012	ZARAGOZA	ZARAGOZA			
A50027622	2	CL	VIA HISPANIDAD	S/N	KM 77 - A	50012	ZARAGOZA	ZARAGOZA	-0.912545100	41.640561500	7	PG	EL CAMPILLO	s/n		50800	ZUERA	ZARAGOZA			
A50033810	2	RD	DEL FERROCARRIL	24	PLATAFORMA LOGISTICA ZA	50194	ZARAGOZA	ZARAGOZA	-1.022316400	41.635739200	1	CR	LOGROÑO	s/n	KM 6.5	50011	ZARAGOZA	ZARAGOZA	-0.954368	41.674213	
A50033810	2	RD	DEL FERROCARRIL	24	PLATAFORMA LOGISTICA ZA	50194	ZARAGOZA	ZARAGOZA	-1.022316400	41.635739200	1	RD	DE FERROCARRIL	24	POLIGONO IND PLAZA	50197	ZARAGOZA	ZARAGOZA			
A50104199	2	CL	CONSTITUCION	5	4 B	47001	VALLADOLID	VALLADOLID	-4.727879000	41.651098000	1	CL	CARMEN	5		22700	JACA	HUESCA	-0.550362	42.569169	1
A50104199	2	CL	CONSTITUCION	5	4 B	47001	VALLADOLID	VALLADOLID	-4.727879000	41.651098000	1	CL	CONDE ARANDA	7	BAJO	50004	ZARAGOZA	ZARAGOZA	-0.884910	41.654146	1
A50105725	1	CL	HUESCA	5	BAJO	50180	UTEBO	ZARAGOZA	-0.998093800	41.706811900	1	CL	CL HUESCA 5 BAJO	s/n		50180	UTEBO	ZARAGOZA			
A50109149	1	PS	NICOLAS DE FRANCIA	6	BAJO	50300	CALATAYUD	ZARAGOZA	-1.639208800	41.354068800	1	AV	FUERZAS ARMADAS	s/n		50300	CALATAYUD	ZARAGOZA			
A50134931	1	CL	PLIND ROYALES ALTOS	S/N		50171	PUEBLA DE ALFINDEN (LA)	ZARAGOZA				PG	MALPICA ALFINDEN CALLE N NAVE	9		50171	PUEBLA DE ALFINDEN (LA)	ZARAGOZA			
A50169580	1	AV	MIGUEL SERVET	81	PARQUE EMPRESARIAL UTEBO	50180	UTEBO	ZARAGOZA	-1.017890700	41.715269400	4	AV	MIGUEL SERVET 81 PARQUE EMPRESARIAL UTEBO NAVE	18		50180	UTEBO	ZARAGOZA			
A50184233	1	AV	ALCALDE FRANCISCO CABALLERO	22		50014	ZARAGOZA	ZARAGOZA				AV	ALCALDE FRANCISCO CABALLERO	22		50014	ZARAGOZA	ZARAGOZA			
A50193762	1	CL	SAGRADA FAMILIA	1	3 3 DERECHA	50012	ZARAGOZA	ZARAGOZA	-0.911066000	41.628894000	1	CL	FRANCISCO DE ROJAS	3	1 I	28010	MADRID	MADRID	-3.699787	40.428952	1
A50202605	2	PZ	SAN FRANCISCO	8	1 B	50006	ZARAGOZA	ZARAGOZA	-0.894141000	41.640355000	1	CL	FANLO	8	BAJO	50012	ZARAGOZA	ZARAGOZA	-0.915427	41.633602	1
A50202605	2	PZ	SAN FRANCISCO	8	1 B	50006	ZARAGOZA	ZARAGOZA	-0.894141000	41.640355000	1	CR	MADRID		LC 2 A	50012	ZARAGOZA	ZARAGOZA	-0.980032	41.602487	6
A50226893	1	PS	INDEPENDENCIA	23	1 IZQD	50001	ZARAGOZA	ZARAGOZA	-0.882345600	41.650285500	1	PS	PS INDEPENDENCIA 23 1 IZQD	s/n		50001	ZARAGOZA	ZARAGOZA			
A50228592	1	CM	TORRE BARAJAS (VENTA DEL OLIVAR)	27		50011	URBANIZACION TORRE BARAJAS	ZARAGOZA	-0.958188040	41.677108700	5	UR	TORRE BARAJAS (VENTA DEL OLIVAR) (URBANIZACIO	27		50011	URBANIZACION TORRE BARAJAS	ZARAGOZA	-0.956373	41.673571	1
A50230556	1	AV	INDEPENDENCIA	8	2	50004	ZARAGOZA	ZARAGOZA	-0.881952000	41.651327000	1	PS	LAS DAMAS	3	QUA	50008	ZARAGOZA	ZARAGOZA	-0.884856	41.645887	1
A50304286	1	PS	GRAN VIA	34	ENTRESUELO DERECHA	50005	ZARAGOZA	ZARAGOZA	-0.889759600	41.645684400	1	PS	GRAN VIA	34	ENTRESUELO DERECHA	50005	ZARAGOZA	ZARAGOZA			
A50309913	5	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA	-0.042786900	41.238711200	1	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA			
A50309913	5	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA	-0.042786900	41.238711200	1	CL	SAN BARTOLOME	4		50700	CASPE	ZARAGOZA			
A50309913	5	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA	-0.042786900	41.238711200	1	CL	VAL DE AZOD	s/n		50700	CASPE	ZARAGOZA			
A50309913	5	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA	-0.042786900	41.238711200	1	CM	PARAJE BARBARROYA	s/n		50700	CASPE	ZARAGOZA			
A50309913	5	CL	CONDE DE GUADALHORCE	9		50700	CASPE	ZARAGOZA	-0.042786900	41.238711200	1	CM	PARAJE PLANO DEL AGUILA	s/n		50700	CASPE	ZARAGOZA			
A50326453	1	CL	CASTELLO	24		28001	MADRID	MADRID	-3.680965200	40.424500900	1	CL	CASTELLO	24		28001	MADRID	MADRID			
A50462399	1	CL	FRANCISCO VITORIA	16	IZQUIERDA 1 DC	50008	ZARAGOZA	ZARAGOZA	-0.880570000	41.646249000	1	PS	FILIPINOS	1		47007	VALLADOLID	VALLADOLID	-4.728862	41.644292	1
A50491489	1	CL	CORONA DE ARAGON	5	BJ	50009	ZARAGOZA	ZARAGOZA	-0.894572500	41.642059600	1	CL	CORONA DE ARAGON	5	BAJO	50009	ZARAGOZA	ZARAGOZA			
A50544345	2	PS	CONSTITUCION	4	4º	50008	ZARAGOZA	ZARAGOZA				PS	CONSTITUCION	10	ENTRESUELO IZQUIERDA	50008	ZARAGOZA	ZARAGOZA			
A50544345	2	PS	CONSTITUCION	4	4º	50008	ZARAGOZA	ZARAGOZA				PS	PS CONSTITUCION	4	1	50008	ZARAGOZA	ZARAGOZA			
A50545318	1	CL	O'DONNELL	6		28009	MADRID	MADRID	-3.577932700	40.440390000	4	CR	NACIONAL 232	s/n	KM 29	50639	FIGUERUELAS	ZARAGOZA			
A50635432	2	AV	CATALUÑA	105		50014	ZARAGOZA	ZARAGOZA	-0.860314700	41.664317400	1	AV	CATALUÑA	105	LOCAL	50014	ZARAGOZA	ZARAGOZA			
A50635432	2	AV	CATALUÑA	105		50014	ZARAGOZA	ZARAGOZA	-0.860314700	41.664317400	1	CL	RIO ARA	6		50014	ZARAGOZA	ZARAGOZA			
A50641406	1	RD	FERROCARRIL PLA			50197	ZARAGOZA	ZARAGOZA	-0.997467460	41.643299260	6	CL	FERROCARRIL RONDA	24		50197	ZARAGOZA	ZARAGOZA	-0.997467	41.643299	6
A50724616	1	PS	DE LA CONSTITUCION	4	1ª	50008	ZARAGOZA	ZARAGOZA	-0.884166200	41.647141300	1	PS	PS CONSTITUCION 4 5	s/n		50008	ZARAGOZA	ZARAGOZA			
A50773423	1	PZ	ANTONIO BELTRAN MARTINEZ	1	7 D CENTRO EMPR	50002	ZARAGOZA	ZARAGOZA				PZ	PZ ANTONIO BELTRAN MARTINEZ 1 7 D CENTRO	s/n		50002	ZARAGOZA	ZARAGOZA			
A50805894	2	CL	AYUNTAMIENTO DE PIEDRAFITA DE JACA	S/N		22665	BIESCAS	HUESCA				CL	AYUNTAMIENTO	s/n		22665	BIESCAS	HUESCA			
A50805894	2	CL	AYUNTAMIENTO DE PIEDRAFITA DE JACA	S/N		22665	BIESCAS	HUESCA				CM	BOSQUE LA PINOSA	s/n		22665	BIESCAS	HUESCA			
A50807478	1	AV	ALCALDE GOMEZ LAGUNA	25	PLANTA 4, OFICINA A EDIFIC	50009	ZARAGOZA	ZARAGOZA	-0.909995600	41.641499200	1	CL	ALBAREDA	1	BLOQUE B PLANTA 1	50004	ZARAGOZA	ZARAGOZA			
A50809813	1	CL	POLLENSA	2		28232	ROZAS DE MADRID (LAS)	MADRID	-3.889469400	40.531870600	1	CL	POLLENSA (EDIFICIO APOLO)	2	OFICINA 5	28290	ROZAS DE MADRID (LAS)	MADRID			
A50948173	1	CL	G F HAENDEL	23	BAJO	50012	ZARAGOZA	ZARAGOZA	-0.908453362	41.594027328	22	PG	EMPRESARIJM CALLE RETAMA	17	NAVE C-16	50720	ZARAGOZA	ZARAGOZA			23
A52000841	2	PO	DEPORTIVO	11		52003	MELILLA	MELILLA	-2.937731128	35.288079722	21	AV	ENRIQUE SALGADO TORRES	11		15008	CORUÑA (A)	CORUÑA (A)			
A52000841	2	PO	DEPORTIVO	11		52003	MELILLA	MELILLA	-2.937731128	35.288079722	21	CL	PUERTO DEPORTIVO NORAY	11		52001	MELILLA	MELILLA			
A53332250	1	AV	EUSEBIO SEMPERE	22	7 H	03003	ALICANTE/ALACANT	ALICANTE	-0.493230000	38.339819000	1	PG	BASALOS	105		03430	ONIL	ALICANTE	-0.660974	38.633441	5
A58012253	1	CL	JOAN GUELL	38	42	08028	BARCELONA	BARCELONA	2.133856800	41.378198500	1	CL	GALILEO	142	BJ	08028	BARCELONA	BARCELONA			
A58013962	4	AV	GENERALITAT	29	E	08970	SANT JOAN DESPI	BARCELONA	2.060912500	41.372047700	1	AV	GENERALITAT	29	NAVE E	08970	SANT JOAN DESPI	BARCELONA			
A58013962	4	AV	GENERALITAT	29	E	08970	SANT JOAN DESPI	BARCELONA	2.060912500	41.372047700	1	ZO	AEROPORT DE EL PRAT DE LLOBREGAT	s/n	TERMINAL 1	08820	PRAT DE LLOBREGAT (EL)	BARCELONA			
A58013962	4	AV	GENERALITAT	29	E	08970	SANT JOAN DESPI	BARCELONA	2.060912500	41.372047700	1	ZO	AEROPORT DE EL PRAT DE LLOBREGAT	s/n	TERMINAL 2	08820	PRAT DE LLOBREGAT (EL)	BARCELONA			
A58013962	4	AV	GENERALITAT	29	E	08970	SANT JOAN DESPI	BARCELONA	2.060912500	41.372047700	1	ZO	TERMINAL AEROPUERTODE BARAJAS	s/n	TERMINAL 1	28042	MADRID	MADRID			
A58014788	1	CL	CORSEGA 78	80		08029	BARCELONA	BARCELONA	2.144840100	41.385110900	1	CL	CORSEGA 78	80		08029	BARCELONA	BARCELONA			
A58025586	1	AV	DIAGONAL	624	4 2	08021	BARCELONA	BARCELONA	2.140065000	41.392008000	1	CR	CATALUNYA	5		08960	SANT JUST DESVERN	BARCELONA	2.079633	41.392795	6
A58026865	2	CL	LERIDA	7		08011	BARCELONA	BARCELONA	2.154647000	41.374125000	15	CL	LLEIDA	7	BJ	08004	BARCELONA	BARCELONA			
A58026865	2	CL	LERIDA	7		08011	BARCELONA	BARCELONA	2.154647000	41.374125000	15	CL	TAMARIT	72	BJ	08004	BARCELONA	BARCELONA			
A58034372	2	CL	NICARAGUA	48	3 5	08029	BARCELONA	BARCELONA	2.141580400	41.383378100	1	CL	NICARAGUA	48	3 5	08029	BARCELONA	BARCELONA			
A58034372	2	CL	NICARAGUA	48	3 5	08029	BARCELONA	BARCELONA	2.141580400	41.383378100	1	CL	VALENZUELA	8	1º	28014	MADRID	MADRID			
A58038993	1	RB	VAYREDA	45	BJ 1	08850	GAVA	BARCELONA	2.007916800	41.304804600	1	RB	VAYREDA	45	BAIXOS 1	08850	GAVA	BARCELONA			
A58041955	1	CL	ZONA	S/N	EDIFICIO VALDES CENTER BL. B 19 - TORRE B, OF	38640	ARONA	SANTA CRUZ DE TENERIFE	-16.683240700	28.098669500	22	AV	PENETRACION	s/n	EDF VALDES CENTER CRISTIA	38640	ARONA	SANTA CRUZ DE TENERIFE			
A58074071	2	CL	PAU VILA	22	4ª PLANTA  EDIFICIO HELION	08197	SANT CUGAT DEL VALLES	BARCELONA	2.064876200	41.480224200	1	CL	PAU VILA	22	4ª PLANTA  EDIFICIO HELION	08197	SANT CUGAT DEL VALLES	BARCELONA	2.064876	41.480224	1
A58074071	2	CL	PAU VILA	22	4ª PLANTA  EDIFICIO HELION	08197	SANT CUGAT DEL VALLES	BARCELONA	2.064876200	41.480224200	1	CR	TERRASSA	101		08205	SABADELL	BARCELONA	2.099703	41.544135	4
A58075904	1	CL	MOSSEN JACINT VERDAGUER	148	LC 14	08330	PREMIA DE MAR	BARCELONA	2.363688000	41.495612000	1	CL	NEOPATRIA	143	BAJO 10	08030	BARCELONA	BARCELONA	2.189852	41.428624	1
A58076290	2	CL	JOAN MIRO	19		08930	SANT ADRIA DE BESOS	BARCELONA	2.230602300	41.429974900	1	CL	JOAN MIRO	19		08930	SANT ADRIA DE BESOS	BARCELONA			
A58076290	2	CL	JOAN MIRO	19		08930	SANT ADRIA DE BESOS	BARCELONA	2.230602300	41.429974900	1	CR	DEL MIG	169	NAVE	08907	HOSPITALET DE LLOBREGAT (L)	BARCELONA			
A58077371	1	CL	IGUALADA	9		08173	SANT CUGAT DEL VALLES	BARCELONA	2.072326000	41.479104000	1	AV	LLUIS COMPANYS	52		08172	SANT CUGAT DEL VALLES	BARCELONA	2.079741	41.472428	1
A58078171	1	CL	RIVERO	67	P AT PTA 2	08032	BARCELONA	BARCELONA	2.156078500	41.431282700	5	CL	RIVERO  P AT PTA 2	67	P AT PTA 2	08032	BARCELONA	BARCELONA			
A58091570	2	CR	COMARCAL 251	S/N		08470	SANT CELONI	BARCELONA	2.497795050	41.689074850	7	CR	C - 35	251	20	08460	SANTA MARIA DE PALAUTORDERA	BARCELONA			
A58091570	2	CR	COMARCAL 251	S/N		08470	SANT CELONI	BARCELONA	2.497795050	41.689074850	7	CR	COMARCAL C- 35	251	KM 20	08470	SANT CELONI	BARCELONA			
A58110065	1	CL	AUGUSTA	302		08017	BARCELONA	BARCELONA	2.128522000	41.397854000	1	CL	ANGLI	2	SM	08017	BARCELONA	BARCELONA	2.128129	41.398025	1
A58115049	1	CL	NUESTRA SEÑORA MONT MAGATZEM	S/N	MAGATZEM	17852	SERINYA	GIRONA	2.737020055	42.167330470	22	GR	NOSTRA SENYORA DEL MONT	s/n		17852	SERINYA	GIRONA			
A58126764	1	AV	CORTS CATALANES	2	LO 3	08173	SANT CUGAT DEL VALLES	BARCELONA	2.097330600	41.476175300	1	AV	LES CORTS CATALANES	2	LOCAL 3	08173	SANT CUGAT DEL VALLES	BARCELONA			
A58129628	1	CL	PIEDRAS VIVAS	S/N	161 URBANIZACION MOCHA CHICA	28691	VILLANUEVA DE LA CAÑADA	MADRID	-3.954015250	40.464167650	7	AV	DOCTOR FLEMING	6		08011	BARCELONA	BARCELONA			
A58135898	2	CL	GUIFRE	205		08912	BADALONA	BARCELONA	2.241745000	41.443776000	1	CL	PRIM	209		08911	BADALONA	BARCELONA	2.253930	41.450493	1
A58135898	2	CL	GUIFRE	205		08912	BADALONA	BARCELONA	2.241745000	41.443776000	1	PL	TRAFALGAR	15		08913	BADALONA	BARCELONA	2.217868	41.436681	1
A58166679	1	CL	SALVADOR ESPRIU	81	LOCAL 1	08005	BARCELONA	BARCELONA	2.198979600	41.391960500	1	CL	SALVADOR ESPRIU	81	LO 1	08005	BARCELONA	BARCELONA			
A58178484	2	PZ	GIRONELLA 2	4		08017	BARCELONA	BARCELONA				PZ	GIRONELLA 2	4		08017	BARCELONA	BARCELONA			
A58178484	2	PZ	GIRONELLA 2	4		08017	BARCELONA	BARCELONA				RD	GENERAL MITRE	25	ETLO	08017	BARCELONA	BARCELONA			
A58180233	1	RB	CATALUÑA	123		08007	BARCELONA	BARCELONA	2.173009250	41.421609550	5	RB	CATALUÑA	123		08007	BARCELONA	BARCELONA			
A58218272	1	CL	BALMES	34	1 2	08172	SANT CUGAT DEL VALLES	BARCELONA	2.083972800	41.472723700	1	CL	CL BALMES 34 1 2	34		08172	SANT CUGAT DEL VALLES	BARCELONA			
