REG_NUMBER	SUBSIDIARY_FULL_REG_NUMBER	SUBSIDIARY_COMPANY_NAME	SUBSIDIARY_LEGAL_FORM	DIRECT_INTEREST_PERCENTAGE	INDIRECT_INTEREST_PERCENTAGE	TOTAL_INTEREST_PERCENTAGE	SUBSIDIARY_TYPE	COD_ISO_2	COUNTRY
B95032694	B62404538	NORWICH SQUARE HOLDINGS	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
B96240205	B40525644	FINCA CLEMENGOLD	Limited Company	100.00	0.00	100.00	Dependent	ES	SPAIN
B96264197	B97130512	VABUCE	Limited Company	99.98	0.00	99.98	Dependent	ES	SPAIN
B97103980	B33664301	BEQUER INVERSIONES	Limited Company	0.00	0.00	100.00	Dependent	ES	SPAIN
B97103980		BM JET AVIAC.PRIV. DEL MEDITERRANEO, S.L.		0.00	0.00	7.76	Does not inform		
B97103980	B97118053	DIGIPRIZES	Limited Company	0.00	0.00	58.00	Dependent	ES	SPAIN
B97103980	B97496038	FORTALEZA GENERACIONAL	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
B97103980	B97587323	INVERSIONES INMOBILIARIAS AITANA	Limited Company	0.00	0.00	5.88	Does not inform	ES	SPAIN
B97103980		NICECOM TELECOMUNICACIONES S.L.		0.00	0.00	100.00	Dependent		
B97103980	B97496053	VALENCIANA DE PRODUCTOS ELECTRICOS	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
B97130587	B21043898	ENVASES GRAU HUELVA	Limited Company	94.50	0.00	94.50	Dependent	ES	SPAIN
